sym,country,state,fiscal_end,sic,sic_desc,exchange
MWH,United States,DE,1231.0,1600.0,Heavy Construction Other Than Bldg Const,Nasdaq
MWYN,United States,NV,430.0,5141.0,"Wholesale-Groceries, General Line",Nasdaq
MX,United States,DE,1231.0,3674.0,Semiconductors & Related Devices,NYSE
MXC,United States,CO,331.0,1311.0,Crude Petroleum & Natural Gas,NYSE
MXCT,United States,DE,1231.0,8731.0,Services-Commercial Physical & Biologica,Nasdaq
MXL,United States,,1231.0,3674.0,Semiconductors & Related Devices,Nasdaq
MYCB,United States,NV,731.0,6500.0,Real Estate,OTC
MYE,United States,OH,1231.0,3089.0,"Plastics Products, NEC",NYSE
MYFW,United States,CO,,6022.0,State Commercial Banks,Nasdaq
MYGN,United States,DE,1231.0,2835.0,In Vitro & In Vivo Diagnostic Substances,Nasdaq
MYND,Foreign,E9,1231.0,3577.0,"Computer Peripheral Equipment, NEC",NYSE
MYO,United States,DE,1231.0,3842.0,"Orthopedic, Prosthetic & Surgical Applia",NYSE
MYPS,United States,,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
MYRG,United States,DE,1231.0,1623.0,"Water, Sewer, Pipeline, Comm & Power Lin",Nasdaq
MYSE,United States,NV,1231.0,4822.0,Telegraph & Other Message Communications,"Nasdaq,Nasdaq"
MYSZ,United States,DE,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
MYX,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq,Nas"
MZTI,United States,OH,630.0,2030.0,"Canned, Frozen & Preservd Fruit, Veg & F",Nasdaq
NAAS,Foreign,E9,,5990.0,"Retail-Retail Stores, NEC",Nasdaq
NABL,United States,,1231.0,7372.0,Services-Prepackaged Software,NYSE
NAFS,United States,WY,1231.0,8742.0,Services-Management Consulting Services,
NAGE,United States,DE,1231.0,2833.0,Medicinal Chemicals & Botanical Products,Nasdaq
NAII,United States,DE,630.0,2833.0,Medicinal Chemicals & Botanical Products,Nasdaq
NAK,Foreign,A1,1231.0,1040.0,Gold and Silver Ores,NYSE
NAKA,United States,DE,1231.0,6199.0,Finance Services,"Nasdaq,OTC"
NAMI,Foreign,E9,1231.0,8200.0,Services-Educational Services,Nasdaq
NAMM,Foreign,E9,1231.0,1040.0,Gold and Silver Ores,"Nasdaq,Nasdaq"
NAMS,Foreign,P7,1231.0,2834.0,Pharmaceutical Preparations,"Nasdaq,Nasdaq"
NANO,United States,DE,1231.0,3559.0,"Special Industry Machinery, NEC",
NASC,United States,FL,1231.0,5122.0,"Wholesale-Drugs, Proprietaries & Druggis",
NAT,Foreign,,1231.0,4400.0,Water Transportation,NYSE
NATH,United States,DE,328.0,5812.0,Retail-Eating  Places,Nasdaq
NATL,United States,MD,1231.0,3578.0,Calculating & Accounting Machines (No El,NYSE
NATR,United States,UT,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NAUT,United States,,1231.0,3826.0,Laboratory Analytical Instruments,Nasdaq
NAVI,United States,DE,1231.0,6211.0,"Security Brokers, Dealers & Flotation Co","Nasdaq,Nasdaq"
NAVN,United States,DE,131.0,7372.0,Services-Prepackaged Software,Nasdaq
NB,United States,A1,630.0,1000.0,Metal Mining,"Nasdaq,Nasdaq"
NBBK,United States,,1231.0,6036.0,"Savings Institutions, Not Federally Char",Nasdaq
NBHC,United States,DE,1231.0,6021.0,National Commercial Banks,NYSE
NBIS,Foreign,P7,,7370.0,"Services-Computer Programming, Data Proc",Nasdaq
NBIX,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
NBND,United States,DE,1231.0,6199.0,Finance Services,OTC
NBP,Foreign,E9,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NBR,United States,D0,1231.0,1381.0,Drilling Oil & Gas Wells,NYSE
NBRG,United States,,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
NBTB,United States,DE,1231.0,6021.0,National Commercial Banks,Nasdaq
NBTX,Foreign,I0,1231.0,2834.0,Pharmaceutical Preparations,"Nasdaq,OTC"
NC,United States,DE,1231.0,1221.0,Bituminous Coal & Lignite Surface Mining,NYSE
NCDL,United States,MD,1231.0,,,NYSE
NCEL,Foreign,V8,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NCEW,Foreign,D8,930.0,4731.0,Arrangement of  Transportation of  Freig,Nasdaq
NCI,Foreign,K3,1231.0,2300.0,Apparel & Other Finishd Prods of  Fabric,Nasdaq
NCIQ,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,Nasdaq
NCL,United States,NV,1231.0,3089.0,"Plastics Products, NEC",NYSE
NCLH,United States,D0,1231.0,4400.0,Water Transportation,NYSE
NCMI,United States,DE,1231.0,7310.0,Services-Advertising,Nasdaq
NCNA,Foreign,X0,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NCNO,United States,DE,131.0,7372.0,Services-Prepackaged Software,Nasdaq
NCPL,United States,UT,430.0,6199.0,Finance Services,"Nasdaq,Nasdaq"
NCRA,United States,NV,1231.0,200.0,Agricultural Prod-Livestock & Animal Spe,Nasdaq
NCSM,United States,DE,1231.0,1389.0,"Oil & Gas Field Services, NEC",Nasdaq
NCT,Foreign,E9,630.0,4412.0,Deep Sea Foreign Transportation of  Frei,Nasdaq
NCTY,Foreign,E9,1231.0,6199.0,Finance Services,Nasdaq
NDAQ,United States,DE,1231.0,6200.0,"Security & Commodity Brokers, Dealers, E",Nasdaq
NDLS,United States,,1229.0,5812.0,Retail-Eating  Places,Nasdaq
NDRA,United States,DE,1231.0,3845.0,Electromedical & Electrotherapeutic Appa,Nasdaq
NDSN,United States,OH,1031.0,3569.0,General Industrial Machinery & Equipment,Nasdaq
NE,United States,X0,1231.0,1381.0,Drilling Oil & Gas Wells,"NYSE,NYSE,NYSE"
NECB,United States,MD,1231.0,6036.0,"Savings Institutions, Not Federally Char",Nasdaq
NEE,United States,FL,1231.0,4911.0,Electric Services,"NYSE,NYSE,NYSE,NYSE,NYSE"
NEGG,Foreign,D8,,5990.0,"Retail-Retail Stores, NEC",Nasdaq
NELR,United States,WY,630.0,1520.0,General Bldg Contractors - Residential B,
NEM,United States,DE,1231.0,1040.0,Gold and Silver Ores,"NYSE,OTC"
NEO,United States,NV,1231.0,8734.0,Services-Testing Laboratories,Nasdaq
NEOG,United States,MI,531.0,2835.0,In Vitro & In Vivo Diagnostic Substances,Nasdaq
NEON,United States,DE,1231.0,3679.0,"Electronic Components, NEC",Nasdaq
NEOV,United States,NV,630.0,3690.0,"Miscellaneous Electrical Machinery, Equi","Nasdaq,Nasdaq"
NEPH,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
NERV,United States,MA,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NESR,Foreign,D8,1231.0,1389.0,"Oil & Gas Field Services, NEC",Nasdaq
NET,United States,DE,1231.0,7372.0,Services-Prepackaged Software,NYSE
NEU,United States,VA,1231.0,2860.0,Industrial Organic Chemicals,NYSE
NEUP,Foreign,C3,630.0,2834.0,Pharmaceutical Preparations,Nasdaq
NEWH,United States,NV,1231.0,3081.0,Unsupported Plastics Film & Sheet,OTC
NEWP,Foreign,A1,630.0,1040.0,Gold and Silver Ores,NYSE
NEWT,United States,MD,1231.0,6021.0,National Commercial Banks,"Nasdaq,Nasdaq,Nasdaq,Nas"
NEXA,Foreign,N4,1231.0,1000.0,Metal Mining,NYSE
NEXM,Foreign,A1,1231.0,1000.0,Metal Mining,Nasdaq
NEXN,Foreign,L3,1231.0,7370.0,"Services-Computer Programming, Data Proc",Nasdaq
NEXR,Foreign,L3,1231.0,5900.0,Retail-Miscellaneous Retail,"Nasdaq,Nasdaq"
NEXT,United States,DE,1231.0,4923.0,Natural Gas Transmisison & Distribution,Nasdaq
NFBK,United States,DE,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
NFE,United States,DE,1231.0,4924.0,Natural Gas Distribution,Nasdaq
NFG,United States,NJ,930.0,4924.0,Natural Gas Distribution,NYSE
NFGC,Foreign,A1,1231.0,1040.0,Gold and Silver Ores,NYSE
NFLX,United States,DE,1231.0,7841.0,Services-Video Tape Rental,Nasdaq
NG,United States,A1,1130.0,1040.0,Gold and Silver Ores,NYSE
NGEN,Foreign,A1,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NGG,Foreign,,331.0,4922.0,Natural Gas Transmission,"NYSE,OTC,OTC,OTC,OTC,OTC"
NGHI,United States,NV,1231.0,8711.0,Services-Engineering Services,
NGL,United States,DE,331.0,4922.0,Natural Gas Transmission,"NYSE,NYSE,NYSE"
NGLD,United States,NV,1231.0,1040.0,Gold and Silver Ores,OTC
NGNE,United States,,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NGS,United States,,1231.0,1389.0,"Oil & Gas Field Services, NEC",NYSE
NGTF,United States,NV,630.0,3590.0,Misc Industrial & Commercial Machinery &,OTC
NGVC,United States,DE,930.0,5411.0,Retail-Grocery Stores,NYSE
NGVT,United States,DE,1231.0,2800.0,Chemicals & Allied Products,NYSE
NHC,United States,DE,1231.0,8051.0,Services-Skilled Nursing Care Facilities,NYSE
NHI,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
NHP,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"Nasdaq,OTC,Nasdaq,Nasdaq"
NHTC,United States,DE,1231.0,5190.0,Wholesale-Miscellaneous Nondurable Goods,Nasdaq
NI,United States,DE,1231.0,4931.0,Electric & Other Services Combined,NYSE
NIC,United States,WI,1231.0,6021.0,National Commercial Banks,NYSE
NICE,Foreign,,1231.0,7372.0,Services-Prepackaged Software,"Nasdaq,OTC"
NICH,United States,NV,831.0,2330.0,"Women's, Misses':  and Juniors Outerwear",
NIHK,United States,NV,1231.0,6500.0,Real Estate,OTC
NIKA,United States,CO,1231.0,2834.0,Pharmaceutical Preparations,OTC
NIMU,United States,FL,1231.0,3760.0,Guided Missiles & Space Vehicles & Parts,"OTC,OTC"
NINE,United States,DE,1231.0,1389.0,"Oil & Gas Field Services, NEC",NYSE
NIO,Foreign,E9,1231.0,3711.0,Motor Vehicles & Passenger Car Bodies,"NYSE,OTC"
NIPG,Foreign,E9,1231.0,7990.0,Services-Miscellaneous Amusement & Recre,Nasdaq
NIQ,United States,L2,1231.0,7370.0,"Services-Computer Programming, Data Proc",NYSE
NIU,Foreign,E9,1231.0,3711.0,Motor Vehicles & Passenger Car Bodies,Nasdaq
NIVF,Foreign,D8,,8090.0,"Services-Misc Health & Allied Services, ","Nasdaq,Nasdaq"
NIXX,United States,NV,1231.0,7371.0,Services-Computer Programming Services,Nasdaq
NJR,United States,NJ,930.0,4924.0,Natural Gas Distribution,NYSE
NKE,United States,OR,531.0,3021.0,Rubber & Plastics Footwear,NYSE
NKLR,United States,L6,1231.0,3443.0,Fabricated Plate Work (Boiler Shops),Nasdaq
NKSH,United States,VA,1231.0,6021.0,National Commercial Banks,Nasdaq
NKTR,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NKTX,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NL,United States,DE,1231.0,2810.0,Industrial Inorganic Chemicals,NYSE
NLCP,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,OTC
NLOP,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
NLST,United States,DE,102.0,3674.0,Semiconductors & Related Devices,OTC
NLY,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE,NYSE,NYSE,NYSE"
NMAX,United States,FL,,4833.0,Television Broadcasting Stations,NYSE
NMEX,United States,NV,731.0,1040.0,Gold and Silver Ores,OTC
NMFC,United States,X1,1231.0,,,"Nasdaq,Nasdaq"
NMG,Foreign,Z4,1231.0,1090.0,Miscellaneous Metal Ores,NYSE
NMHI,United States,DE,1231.0,3523.0,Farm Machinery & Equipment,OTC
NMIH,United States,CA,1231.0,6351.0,Surety Insurance,Nasdaq
NMM,Foreign,1T,1231.0,4412.0,Deep Sea Foreign Transportation of  Frei,NYSE
NMP,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
NMPGY,Foreign,1T,1231.0,4412.0,Deep Sea Foreign Transportation of  Frei,
NMR,Foreign,M0,331.0,6211.0,"Security Brokers, Dealers & Flotation Co","NYSE,OTC"
