📌 주봉 신호 종목 현황 (2026-05-28 기준)
시총 높은 순 | 총 155개 종목

🇰🇷 한국 (3개)
       시총  [주간%]  종목명
168.4조   [+25.1%]  SK스퀘어(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+0.0%]  Ellington Financial  ← 5일선라이딩, 이평선수렴
$     1B    [+0.8%]  German American Bancorp  ← 컵위드핸들, 이평선수렴
$     1B    [+9.4%]  PureCycle Technologies  ← 5일선라이딩, 이평선수렴
$     1B   [+13.2%]  Simulations Plus  ← 이평선수렴, RSI/MACD
$     1B    [+1.6%]  Interface  ← 이평선수렴, RSI/MACD
$     1B   [+13.3%]  LendingClub  ← 이평선수렴, RSI/MACD
$     1B   [+11.4%]  SunCoke Energy  ← 이평선수렴, RSI/MACD
$     1B    [+6.2%]  Hudson Pacific Properties  ← 5일선라이딩, 이평선수렴
$     1B    [+0.1%]  Origin Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [-0.1%]  OceanFirst Financial  ← 이평선수렴, RSI/MACD
$     1B   [+14.1%]  OPKO Health  ← 이평선수렴, RSI/MACD
$     1B    [+9.7%]  Xometry(52주)  ← 52주신고가, 이평선수렴

==================================================
개별 종목 상세
==================================================

──────────────────────────────────────────────────
✅ SK스퀘어(+25.10%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 168.4조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK스퀘어 [백조의 첫 날갯짓]
  26.05.26 / 목표가: 
  대신증권
SK스퀘어 [높은 주가 탄력성]
  26.05.19 / 목표가: 
  SK증권
SK스퀘어 [백조는 날고 싶다]
  26.04.28 / 목표가: 
  대신증권

📎 https://finance.naver.com/item/main.naver?code=402340

──────────────────────────────────────────────────
✅ HD현대중공업(+24.41%)

❗ 52주신고가 | 이평선수렴
📌 52주신고가

시가총액 : 78.1조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
