📌 주봉 신호 종목 현황 (2026-05-27 기준)
시총 높은 순 | 총 286개 종목

🇰🇷 한국 (14개)
       시총  [주간%]  종목명
1748.0조    [+6.4%]  삼성전자(52주)  ← 52주신고가, 5일선라이딩
* 증권사 보고서 (최근 3건)
삼성에스디에스 [AI 시대의 확실한 수혜주]
  26.05.22 / 목표가: 
  미래에셋증권
삼성에스디에스 [AI 데이터센터 확보로 성장의 핵심 동력 기반..]
  26.04.27 / 목표가: 
  iM증권
삼성에스디에스 [낮은 주가 레벨, 기대해볼 만한 투자 성과]
  26.04.24 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=018260

──────────────────────────────────────────────────
✅ 주성엔지니어링(+28.70%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 10.9조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
주성엔지니어링 [메모리 반도체 투자 회복 국면, 저평가 해소 ..]
  26.01.02 / 목표가: 
  한국IR협의회
주성엔지니어링 [우려에서 기대의 시선으로]
  25.11.10 / 목표가: 
  SK증권
주성엔지니어링 [주가 조정 이후에 비중확대 기회 도래]
  25.07.31 / 목표가: 
  하나증권

📎 https://finance.naver.com/item/main.naver?code=036930

──────────────────────────────────────────────────
✅ 에스엘(+16.82%)

❗ 52주신고가 | RSI/MACD
📌 52주신고가

시가총액 : 3.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
에스엘 [1Q26 Review: 준비해왔던날개를 활짝 펴고]
  26.05.18 / 목표가: 
  교보증권
에스엘 [잘 나가는 램프, 기대되는 로봇]
  26.05.18 / 목표가: 
  하나증권
에스엘 [불확실성을 상쇄하는 공급 사이클 시작]
  26.05.18 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=005850

──────────────────────────────────────────────────
✅ HL만도(+8.38%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 3.0조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
HL만도 [위기 속 확인된 이익체력]
  26.05.04 / 목표가: 
  대신증권
HL만도 [자동차를 넘어 로봇과 로보택시로 확장]
  26.04.30 / 목표가: 
  하나증권
HL만도 [1Q26 Review: 수주로 보여주는 경쟁력]
  26.04.30 / 목표가: 
  교보증권

📎 https://finance.naver.com/item/main.naver?code=204320

──────────────────────────────────────────────────
✅ 네이처셀(+67.14%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 1.9조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

📎 https://finance.naver.com/item/main.naver?code=007390

──────────────────────────────────────────────────
✅ 삼성화재우(+1.29%)

❗ 5일선라이딩 | 이평선수렴

시가총액 : 1.2조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

📎 https://finance.naver.com/item/main.naver?code=000815

──────────────────────────────────────────────────
✅ HL홀딩스(-0.32%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 4,212억
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
HL홀딩스 [PBR 상승의 트리거→주주환원 및 로봇사업 확..]
  26.05.18 / 목표가: 
  iM증권
HL홀딩스 [주차 로봇 사업에 대한 기대]
  26.01.08 / 목표가: 
  한국IR협의회
HL홀딩스 [주차로봇으로 글로벌 중심에 서다]
  25.12.08 / 목표가: 
  iM증권

📎 https://finance.naver.com/item/main.naver?code=060980

──────────────────────────────────────────────────
✅ 삼목에스폼(+0.71%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 3,138억
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 2건)
삼목에스폼 [국내 알루미늄폼 시장점유율 1위 기업]
  22.04.21 / 목표가: 
  나이스디앤비
삼목에스폼 [알루미늄 폼 국내 시장 점유율 1위, 수익성 ..]
  20.08.20 / 목표가: 
  나이스디앤비

📎 https://finance.naver.com/item/main.naver?code=018310
