📌 주봉 신호 종목 현황 (2026-05-27 기준)
시총 높은 순 | 총 273개 종목

🇰🇷 한국 (14개)
       시총  [주간%]  종목명
$     1B    [+0.1%]  WisdomTree(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.7%]  First Commonwealth Financial Corp  ← 컵위드핸들, RSI/MACD
$     1B    [+5.1%]  First Busey  ← 컵위드핸들, RSI/MACD
$     1B    [+2.2%]  Omnicell  ← 5일선라이딩, 이평선수렴
$     1B   [+27.6%]  Caleres  ← 이평선수렴, RSI/MACD
$     1B    [+0.6%]  Two Harbors Investment  ← 이평선수렴, RSI/MACD
$     1B   [+23.2%]  Enovix  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  Universal Corporation  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  Central Securities(52주)  ← 52주신고가, 이평선수렴
$     1B    [+9.4%]  Digi International(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.4%]  S&amp;T Bancorp(52주)  ← 52주신고가, 컵위드핸들
$     1B   [+15.2%]  Ameresco  ← 이평선수렴, RSI/MACD
$     1B    [+3.4%]  TriCo Bancshares  ← 이평선수렴, RSI/MACD
$     1B    [+1.2%]  Employers Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+7.4%]  Benchmark Electronics(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+5.5%]  Liquidia Technologies  ← 이평선수렴, RSI/MACD
$     1B    [+8.8%]  Scholar Rock Holding(52주)  ← 52주신고가, RSI/MACD
$     1B   [+11.5%]  Thermon Group(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+0.0%]  Golden Entertainment  ← 5일선라이딩, 이평선수렴
$     1B    [+3.6%]  Peoples Bancorp  ← 컵위드핸들, RSI/MACD
$     1B    [+2.0%]  Ellington Financial  ← 5일선라이딩, 이평선수렴
$     1B    [+4.2%]  QCR Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+2.9%]  Interface  ← 이평선수렴, RSI/MACD
$     1B    [+3.1%]  Byline Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+8.1%]  Hudson Pacific Properties  ← 5일선라이딩, 이평선수렴
$     1B    [+4.1%]  Origin Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+3.1%]  OceanFirst Financial  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  CrossAmerica Partners  ← 이평선수렴, RSI/MACD

==================================================
개별 종목 상세
==================================================

──────────────────────────────────────────────────
✅ 삼성전자(+6.41%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 1748.0조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성전자 [초호황 속 조정 구간 = 매수 타이밍]
  26.05.21 / 목표가: 
  신한투자증권
삼성전자 [내부는 태풍, 외부는 폭풍]
  26.05.21 / 목표가: 
  미래에셋증권
삼성전자 [중장기 사업 가시성 확보]
  26.05.11 / 목표가: 
  미래에셋증권

📎 https://finance.naver.com/item/main.naver?code=005930

──────────────────────────────────────────────────
✅ SK하이닉스(+11.52%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 1462.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK하이닉스 [주도주는 원래 비싼 겁니다]
  26.05.21 / 목표가: 
  신한투자증권
SK하이닉스 [NAND 모멘텀 추가 반영]
  26.05.18 / 목표가: 
  미래에셋증권
SK하이닉스 [AI 데이터센터 수주 급증 수혜]
  26.05.11 / 목표가: 
  미래에셋증권

📎 https://finance.naver.com/item/main.naver?code=000660

──────────────────────────────────────────────────
✅ HD현대중공업(+21.14%)

❗ 52주신고가 | 이평선수렴
📌 52주신고가

시가총액 : 78.2조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
HD현대중공업 [[1Q26 Review] 견조한 상선에 더해지는 DC 엔..]
  26.05.08 / 목표가: 
  한화투자증권
HD현대중공업 [본업도 잘하는데 새로운 기회까지 선점]
  26.05.08 / 목표가: 
  DS투자증권
HD현대중공업 [일회성 요인 없이 실적 서프라이즈]
  26.05.08 / 목표가: 
  하나증권

📎 https://finance.naver.com/item/main.naver?code=329180

──────────────────────────────────────────────────
✅ SK(+23.77%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 47.6조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK [지분가치는 상승, 할인율은 축소]
  26.05.19 / 목표가: 
  SK증권
SK [반도체 슈퍼사이클에 따른 수혜]
  26.05.18 / 목표가: 
  하나증권
SK [1Q26 Review : 하이닉스와 연결된 현금흐름과..]
  26.05.18 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=034730

──────────────────────────────────────────────────
✅ 삼성화재(+4.87%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 25.9조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성화재 [1Q26 Review: 견조한 이익 지속 전망, 업종내..]
  26.05.18 / 목표가: 
  교보증권
삼성화재 [나도 삼성전자 주식 있어]
  26.05.15 / 목표가: 
  신한투자증권
삼성화재 [고르게 양호한 실적, ROE 개선은 과제]
  26.05.15 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=000810

──────────────────────────────────────────────────
✅ LG이노텍(+40.53%)

❗ 52주신고가 | 5일선라이딩
📌 역사적신고가

시가총액 : 25.3조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
LG이노텍 [전 사업부의 우상향 방향성]
  26.05.26 / 목표가: 
  하나증권
LG이노텍 [기판으로 그린 미래의 청사진]
  26.05.18 / 목표가: 
  유안타증권
LG이노텍 [FCBGA 낙수효과, SiP 쇼티지: 27년 추정치 상..]
  26.05.13 / 목표가: 
  SK증권

📎 https://finance.naver.com/item/main.naver?code=011070

──────────────────────────────────────────────────
✅ 삼성에스디에스(+11.57%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 15.6조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성에스디에스 [AI 시대의 확실한 수혜주]
  26.05.22 / 목표가: 
  미래에셋증권
삼성에스디에스 [AI 데이터센터 확보로 성장의 핵심 동력 기반..]
  26.04.27 / 목표가: 
  iM증권
삼성에스디에스 [낮은 주가 레벨, 기대해볼 만한 투자 성과]
  26.04.24 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=018260

──────────────────────────────────────────────────
✅ 주성엔지니어링(+28.70%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 10.9조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
주성엔지니어링 [메모리 반도체 투자 회복 국면, 저평가 해소 ..]
  26.01.02 / 목표가: 
  한국IR협의회
주성엔지니어링 [우려에서 기대의 시선으로]
  25.11.10 / 목표가: 
  SK증권
주성엔지니어링 [주가 조정 이후에 비중확대 기회 도래]
