📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
$     4B    [-1.9%]  PJT Partners  ← 이평선수렴, RSI/MACD
$     4B    [+1.2%]  RLJ Lodging Trust  ← 5일선라이딩, 이평선수렴
$     4B    [-1.5%]  Urban Outfitters  ← 이평선수렴, RSI/MACD
$     4B    [+5.8%]  Park Hotels &amp; Resorts  ← 이평선수렴, RSI/MACD
$     4B    [+3.9%]  Teradata  ← 이평선수렴, RSI/MACD
$     4B   [+22.0%]  Credo Technology(역사적)  ← 52주신고가, 이평선수렴
$     3B    [+0.0%]  Tri Pointe Homes(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+2.5%]  Moelis &amp; Company  ← 이평선수렴, RSI/MACD
$     3B    [+1.5%]  Cousins Properties  ← 5일선라이딩, 이평선수렴
$     3B   [+11.1%]  United Parks &amp; Resorts  ← 이평선수렴, RSI/MACD
$     3B    [+6.7%]  SL Green Realty  ← 이평선수렴, RSI/MACD
$     3B    [+3.5%]  Progyny  ← 5일선라이딩, 이평선수렴
$     3B    [+0.5%]  International Bancshares Corp  ← 컵위드핸들, 이평선수렴
$     3B   [+14.4%]  Joby Aviation  ← 이평선수렴, RSI/MACD
$     3B    [+9.0%]  YETI Holdings  ← 이평선수렴, RSI/MACD
$     3B    [+5.0%]  Korn Ferry  ← 이평선수렴, RSI/MACD
$     3B    [+0.1%]  Graham Holdings  ← 이평선수렴, RSI/MACD
$     3B   [+11.8%]  Sprout Social  ← 이평선수렴, RSI/MACD
$     3B    [+0.2%]  Amicus Therapeutics(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+0.1%]  Arcellx(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+5.3%]  Innospec  ← 5일선라이딩, 이평선수렴
$     3B    [-0.4%]  DigitalBridge Group  ← 5일선라이딩, 이평선수렴
$     3B   [+23.4%]  Vishay Intertechnology(역사적)  ← 52주신고가, 5일선라이딩
$     3B   [+11.4%]  ACV Auctions  ← 이평선수렴, RSI/MACD
$     3B    [+7.2%]  QuantumScape  ← 이평선수렴, RSI/MACD
$     3B    [+1.8%]  Brady  ← 이평선수렴, RSI/MACD
$     3B    [-1.0%]  Global Business Travel Group  ← 5일선라이딩, 이평선수렴
$     3B   [+14.1%]  GoodRx  ← 이평선수렴, RSI/MACD
$     3B    [-1.1%]  First Hawaiian Bank  ← 이평선수렴, RSI/MACD
$     3B    [-0.7%]  LXP Industrial Trust  ← 이평선수렴, RSI/MACD
$     3B    [-0.8%]  COPT Defense Properties  ← 컵위드핸들, 이평선수렴
$     3B    [+2.2%]  Highwoods Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+2.1%]  Hub Group  ← 이평선수렴, RSI/MACD
$     3B    [-0.3%]  WSFS Financial(52주)  ← 52주신고가, RSI/MACD
$     3B    [+1.1%]  First Interstate BancSystem  ← 이평선수렴, RSI/MACD
$     3B   [+15.7%]  Sunrun  ← 이평선수렴, RSI/MACD
$     3B    [+9.0%]  Denali Therapeutics  ← 이평선수렴, RSI/MACD
$     3B    [+1.8%]  Globalstar(52주)  ← 52주신고가, 5일선라이딩
$     2B   [+16.4%]  Corcept Therapeutics  ← 5일선라이딩, 이평선수렴
$     2B    [+3.3%]  PriceSmart(52주)  ← 52주신고가, RSI/MACD
$     2B    [+9.9%]  Guardant Health(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+7.2%]  Sonos  ← 이평선수렴, RSI/MACD
$     2B    [+0.0%]  Mister Car Wash  ← 5일선라이딩, 이평선수렴
$     2B   [+29.6%]  Xerox  ← 이평선수렴, RSI/MACD
$     2B    [+0.5%]  Independent Bank Corp (Massachusetts)  ← 이평선수렴, RSI/MACD
$     2B   [+41.1%]  PagerDuty  ← 이평선수렴, RSI/MACD
$     2B    [+9.8%]  Standex(52주)  ← 52주신고가, 이평선수렴
$     2B    [+0.3%]  First Financial Bank(52주)  ← 52주신고가, RSI/MACD
$     2B   [+10.7%]  Array Technologies  ← 이평선수렴, RSI/MACD
$     2B    [+0.9%]  Acadia Realty Trust  ← 이평선수렴, RSI/MACD
$     2B   [+14.9%]  Schrödinger  ← 이평선수렴, RSI/MACD
$     2B   [+14.4%]  Rocket Lab(52주)  ← 52주신고가, 이평선수렴
